Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?e  term3  ?a  ?e  term3  ?b   => ?a  term11  ?b	0.376666667	0.207149404	0.222003929	226	1091	1018	?b	0.0	0.0	0.0
?e  term20  ?a  ?e  term3  ?b   => ?a  term11  ?b	0.075	0.185185185	0.201793722	45	243	223	?b	0.0	0.0	0.0
?e  term12  ?a  ?e  term3  ?b   => ?a  term11  ?b	0.075	0.153583618	0.177865613	45	293	253	?b	0.0	0.0	0.0
?e  term17  ?a  ?e  term3  ?b   => ?a  term11  ?b	0.11	0.146017699	0.166666667	66	452	396	?b	0.0	0.0	0.0
?e  term3  ?b  ?e  term4  ?a   => ?a  term11  ?b	0.11	0.119133574	0.131474104	66	554	502	?b	0.0	0.0	0.0
?e  term14  ?a  ?e  term3  ?b   => ?a  term11  ?b	0.028333333	0.209876543	0.23943662	17	81	71	?b	0.0	0.0	0.0
?e  term0  ?a  ?e  term0  ?b   => ?a  term11  ?b	0.286666667	0.274760383	0.292517007	172	626	588	?b	0.0	0.0	0.0
?e  term0  ?b  ?e  term2  ?a   => ?a  term11  ?b	0.065	0.261744966	0.293233083	39	149	133	?b	0.0	0.0	0.0
?e  term0  ?b  ?e  term11  ?a   => ?a  term11  ?b	0.17	0.241134752	0.273458445	102	423	373	?b	0.0	0.0	0.0
?e  term0  ?b  ?e  term1  ?a   => ?a  term11  ?b	0.141666667	0.182403433	0.204326923	85	466	416	?b	0.0	0.0	0.0
?e  term0  ?b  ?e  term10  ?a   => ?a  term11  ?b	0.041666667	0.105485232	0.119047619	25	237	210	?b	0.0	0.0	0.0
?e  term0  ?b  ?e  term9  ?a   => ?a  term11  ?b	0.03	0.086124402	0.100558659	18	209	179	?b	0.0	0.0	0.0
?e  term2  ?a  ?e  term2  ?b   => ?a  term11  ?b	0.271666667	0.268533773	0.272575251	163	607	598	?b	0.0	0.0	0.0
?e  term11  ?a  ?e  term2  ?b   => ?a  term11  ?b	0.278333333	0.24704142	0.257318952	167	676	649	?b	0.0	0.0	0.0
?e  term10  ?a  ?e  term2  ?b   => ?a  term11  ?b	0.05	0.163934426	0.178571429	30	183	168	?b	0.0	0.0	0.0
?e  term2  ?b  ?e  term9  ?a   => ?a  term11  ?b	0.045	0.134328358	0.141361257	27	201	191	?b	0.0	0.0	0.0
?e  term0  ?a  ?e  term2  ?b   => ?a  term11  ?b	0.025	0.100671141	0.105633803	15	149	142	?b	0.0	0.0	0.0
?e  term1  ?a  ?e  term2  ?b   => ?a  term11  ?b	0.038333333	0.203539823	0.214953271	23	113	107	?b	0.0	0.0	0.0
?e  term18  ?b  ?e  term6  ?a   => ?a  term11  ?b	0.198333333	0.217550274	0.240890688	119	547	494	?b	0.0	0.0	0.0
?e  term18  ?b  ?e  term5  ?a   => ?a  term11  ?b	0.153333333	0.184738956	0.204444444	92	498	450	?b	0.0	0.0	0.0
?e  term18  ?b  ?e  term22  ?a   => ?a  term11  ?b	0.1	0.25751073	0.277777778	60	233	216	?b	0.0	0.0	0.0
?e  term18  ?a  ?e  term18  ?b   => ?a  term11  ?b	0.515	0.248592116	0.268929504	309	1243	1149	?b	0.0	0.0	0.0
?e  term1  ?a  ?e  term10  ?b   => ?a  term11  ?b	0.216666667	0.225694444	0.234234234	130	576	555	?b	0.0	0.0	0.0
?e  term10  ?b  ?e  term9  ?a   => ?a  term11  ?b	0.183333333	0.209125475	0.21611002	110	526	509	?b	0.0	0.0	0.0
?e  term10  ?a  ?e  term10  ?b   => ?a  term11  ?b	0.256666667	0.24137931	0.246794872	154	638	624	?b	0.0	0.0	0.0
?e  term0  ?a  ?e  term10  ?b   => ?a  term11  ?b	0.07	0.17721519	0.181034483	42	237	232	?b	0.0	0.0	0.0
?e  term13  ?b  ?e  term3  ?a   => ?a  term11  ?b	0.223333333	0.244525547	0.252830189	134	548	530	?b	0.0	0.0	0.0
?e  term13  ?b  ?e  term17  ?a   => ?a  term11  ?b	0.215	0.22591944	0.231597846	129	571	557	?b	0.0	0.0	0.0
?e  term13  ?a  ?e  term13  ?b   => ?a  term11  ?b	0.276666667	0.24962406	0.25617284	166	665	648	?b	0.0	0.0	0.0
?e  term12  ?a  ?e  term13  ?b   => ?a  term11  ?b	0.123333333	0.183168317	0.187817259	74	404	394	?b	0.0	0.0	0.0
?e  term13  ?b  ?e  term20  ?a   => ?a  term11  ?b	0.118333333	0.217791411	0.220496894	71	326	322	?b	0.0	0.0	0.0
?e  term13  ?b  ?e  term21  ?a   => ?a  term11  ?b	0.086666667	0.269430052	0.284153005	52	193	183	?b	0.0	0.0	0.0
?e  term13  ?b  ?e  term4  ?a   => ?a  term11  ?b	0.18	0.203389831	0.208092486	108	531	519	?b	0.0	0.0	0.0
?e  term13  ?b  ?e  term14  ?a   => ?a  term11  ?b	0.038333333	0.182539683	0.182539683	23	126	126	?b	0.0	0.0	0.0
?e  term6  ?a  ?e  term6  ?b   => ?a  term11  ?b	0.263333333	0.27574171	0.285198556	158	573	554	?b	0.0	0.0	0.0
?e  term5  ?a  ?e  term6  ?b   => ?a  term11  ?b	0.188333333	0.223762376	0.232032854	113	505	487	?b	0.0	0.0	0.0
?e  term22  ?a  ?e  term6  ?b   => ?a  term11  ?b	0.048333333	0.116935484	0.123931624	29	248	234	?b	0.0	0.0	0.0
?e  term18  ?a  ?e  term6  ?b   => ?a  term11  ?b	0.168333333	0.18464351	0.192380952	101	547	525	?b	0.0	0.0	0.0
?e  term5  ?b  ?e  term6  ?a   => ?a  term11  ?b	0.226666667	0.269306931	0.294372294	136	505	462	?b	0.0	0.0	0.0
?e  term5  ?a  ?e  term5  ?b   => ?a  term11  ?b	0.205	0.236538462	0.261702128	123	520	470	?b	0.0	0.0	0.0
?e  term18  ?a  ?e  term5  ?b   => ?a  term11  ?b	0.146666667	0.176706827	0.199095023	88	498	442	?b	0.0	0.0	0.0
?e  term20  ?a  ?e  term20  ?b   => ?a  term11  ?b	0.171666667	0.226373626	0.25	103	455	412	?b	0.0	0.0	0.0
?e  term13  ?a  ?e  term20  ?b   => ?a  term11  ?b	0.131666667	0.242331288	0.26779661	79	326	295	?b	0.0	0.0	0.0
?e  term12  ?a  ?e  term20  ?b   => ?a  term11  ?b	0.065	0.195	0.226744186	39	200	172	?b	0.0	0.0	0.0
?e  term20  ?b  ?e  term4  ?a   => ?a  term11  ?b	0.131666667	0.147663551	0.165271967	79	535	478	?b	0.0	0.0	0.0
?e  term14  ?a  ?e  term20  ?b   => ?a  term11  ?b	0.03	0.227848101	0.24	18	79	75	?b	0.0	0.0	0.0
?e  term17  ?a  ?e  term20  ?b   => ?a  term11  ?b	0.123333333	0.181372549	0.194736842	74	408	380	?b	0.0	0.0	0.0
?e  term20  ?b  ?e  term3  ?a   => ?a  term11  ?b	0.1	0.24691358	0.262008734	60	243	229	?b	0.0	0.0	0.0
?e  term7  ?b  ?e  term8  ?a   => ?a  term11  ?b	0.215	0.116111611	0.119777159	129	1111	1077	?b	0.0	0.0	0.0
?e  term7  ?a  ?e  term7  ?b   => ?a  term11  ?b	0.298333333	0.145528455	0.150927487	179	1230	1186	?b	0.0	0.0	0.0
?e  term16  ?a  ?e  term7  ?b   => ?a  term11  ?b	0.378333333	0.125483693	0.1298627	227	1809	1748	?b	0.0	0.0	0.0
?e  term7  ?a  ?e  term8  ?b   => ?a  term11  ?b	0.258333333	0.139513951	0.153465347	155	1111	1010	?b	0.0	0.0	0.0
?e  term8  ?a  ?e  term8  ?b   => ?a  term11  ?b	0.218333333	0.11769991	0.130608175	131	1113	1003	?b	0.0	0.0	0.0
?e  term16  ?a  ?e  term8  ?b   => ?a  term11  ?b	0.313333333	0.113048707	0.124916944	188	1663	1505	?b	0.0	0.0	0.0
?e  term15  ?a  ?e  term22  ?b   => ?a  term11  ?b	0.128333333	0.189655172	0.189655172	77	406	406	?b	0.0	0.0	0.0
?e  term22  ?a  ?e  term22  ?b   => ?a  term11  ?b	0.125	0.277777778	0.277777778	75	270	270	?b	0.0	0.0	0.0
?e  term22  ?b  ?e  term6  ?a   => ?a  term11  ?b	0.118333333	0.286290323	0.286290323	71	248	248	?b	0.0	0.0	0.0
?e  term22  ?b  ?e  term5  ?a   => ?a  term11  ?b	0.075	0.1875	0.1875	45	240	240	?b	0.0	0.0	0.0
?e  term18  ?a  ?e  term22  ?b   => ?a  term11  ?b	0.101666667	0.261802575	0.261802575	61	233	233	?b	0.0	0.0	0.0
?e  term0  ?a  ?e  term9  ?b   => ?a  term11  ?b	0.08	0.229665072	0.262295082	48	209	183	?b	0.0	0.0	0.0
?e  term10  ?a  ?e  term9  ?b   => ?a  term11  ?b	0.215	0.245247148	0.264887064	129	526	487	?b	0.0	0.0	0.0
?e  term1  ?a  ?e  term9  ?b   => ?a  term11  ?b	0.166666667	0.234741784	0.265251989	100	426	377	?b	0.0	0.0	0.0
?e  term9  ?a  ?e  term9  ?b   => ?a  term11  ?b	0.198333333	0.23752495	0.262114537	119	501	454	?b	0.0	0.0	0.0
?e  term16  ?a  ?e  term19  ?b   => ?a  term11  ?b	0.04	0.32	0.32	24	75	75	?b	0.0	0.0	0.0
?e  term19  ?b  ?e  term7  ?a   => ?a  term11  ?b	0.018333333	0.215686275	0.215686275	11	51	51	?b	0.0	0.0	0.0
?e  term19  ?a  ?e  term19  ?b   => ?a  term11  ?b	0.01	0.142857143	0.142857143	6	42	42	?b	0.0	0.0	0.0
?e  term19  ?b  ?e  term8  ?a   => ?a  term11  ?b	0.013333333	0.150943396	0.150943396	8	53	53	?b	0.0	0.0	0.0
?e  term17  ?a  ?e  term21  ?b   => ?a  term11  ?b	0.106666667	0.226950355	0.233576642	64	282	274	?b	0.0	0.0	0.0
?e  term21  ?a  ?e  term21  ?b   => ?a  term11  ?b	0.128333333	0.224489796	0.229166667	77	343	336	?b	0.0	0.0	0.0
?e  term13  ?a  ?e  term21  ?b   => ?a  term11  ?b	0.088333333	0.274611399	0.277486911	53	193	191	?b	0.0	0.0	0.0
?e  term21  ?b  ?e  term4  ?a   => ?a  term11  ?b	0.078333333	0.156666667	0.166666667	47	300	282	?b	0.0	0.0	0.0
?e  term21  ?b  ?e  term3  ?a   => ?a  term11  ?b	0.068333333	0.14137931	0.146953405	41	290	279	?b	0.0	0.0	0.0
?e  term12  ?a  ?e  term21  ?b   => ?a  term11  ?b	0.036666667	0.170542636	0.170542636	22	129	129	?b	0.0	0.0	0.0
?e  term17  ?a  ?e  term25  ?b   => ?a  term11  ?b	0.01	0.260869565	0.3	6	23	20	?b	0.0	0.0	0.0
?e  term14  ?b  ?e  term20  ?a   => ?a  term11  ?b	0.036666667	0.278481013	0.285714286	22	79	77	?b	0.0	0.0	0.0
?e  term14  ?b  ?e  term3  ?a   => ?a  term11  ?b	0.033333333	0.24691358	0.263157895	20	81	76	?b	0.0	0.0	0.0
?e  term14  ?b  ?e  term17  ?a   => ?a  term11  ?b	0.028333333	0.195402299	0.2	17	87	85	?b	0.0	0.0	0.0
?e  term25  ?b  ?e  term4  ?a   => ?a  term11  ?b	0.01	0.107142857	0.142857143	6	56	42	?b	0.0	0.0	0.0
?e  term13  ?a  ?e  term14  ?b   => ?a  term11  ?b	0.065	0.30952381	0.317073171	39	126	123	?b	0.0	0.0	0.0
?e  term14  ?a  ?e  term14  ?b   => ?a  term11  ?b	0.035	0.190909091	0.198113208	21	110	106	?b	0.0	0.0	0.0
?e  term12  ?b  ?e  term13  ?a   => ?a  term11  ?b	0.181666667	0.26980198	0.286842105	109	404	380	?b	0.0	0.0	0.0
?e  term12  ?a  ?e  term12  ?b   => ?a  term11  ?b	0.131666667	0.233038348	0.252396166	79	339	313	?b	0.0	0.0	0.0
?e  term12  ?b  ?e  term17  ?a   => ?a  term11  ?b	0.135	0.233429395	0.253125	81	347	320	?b	0.0	0.0	0.0
?e  term12  ?b  ?e  term3  ?a   => ?a  term11  ?b	0.073333333	0.150170648	0.173228346	44	293	254	?b	0.0	0.0	0.0
?e  term12  ?b  ?e  term4  ?a   => ?a  term11  ?b	0.126666667	0.194373402	0.222222222	76	391	342	?b	0.0	0.0	0.0
?e  term12  ?b  ?e  term21  ?a   => ?a  term11  ?b	0.043333333	0.201550388	0.226086957	26	129	115	?b	0.0	0.0	0.0
?e  term12  ?b  ?e  term20  ?a   => ?a  term11  ?b	0.065	0.195	0.219101124	39	200	178	?b	0.0	0.0	0.0
?e  term15  ?a  ?e  term24  ?b   => ?a  term11  ?b	0.011666667	0.269230769	0.269230769	7	26	26	?b	0.0	0.0	0.0
?f  term6  ?a  ?b  term8  ?f   => ?a  term4  ?b	0.20610687	0.087003222	0.108579088	81	931	746	?a	0.0	0.0	0.0
?f  term5  ?a  ?b  term8  ?f   => ?a  term4  ?b	0.455470738	0.166821994	0.181910569	179	1073	984	?a	0.0	0.0	0.0
?a  term15  ?f  ?b  term8  ?f   => ?a  term4  ?b	0.615776081	0.128997868	0.152874289	242	1876	1583	?a	0.0	0.0	0.0
?a  term24  ?f  ?b  term8  ?f   => ?a  term4  ?b	0.017811705	0.5	0.5	7	14	14	?a	0.0	0.0	0.0
?f  term5  ?a  ?b  term7  ?f   => ?a  term4  ?b	0.468193384	0.185483871	0.201092896	184	992	915	?a	0.0	0.0	0.0
?f  term6  ?a  ?b  term7  ?f   => ?a  term4  ?b	0.251908397	0.1125	0.141630901	99	880	699	?a	0.0	0.0	0.0
?f  term18  ?a  ?b  term7  ?f   => ?a  term4  ?b	0.269720102	0.115092291	0.125443787	106	921	845	?a	0.0	0.0	0.0
?f  term15  ?a  ?b  term7  ?f   => ?a  term4  ?b	0.460559796	0.092630502	0.102375566	181	1954	1768	?a	0.0	0.0	0.0
?a  term6  ?f  ?b  term7  ?f   => ?a  term4  ?b	0.491094148	0.097229219	0.105406881	193	1985	1831	?a	0.0	0.0	0.0
?a  term18  ?f  ?b  term7  ?f   => ?a  term4  ?b	0.272264631	0.105004907	0.11370882	107	1019	941	?a	0.0	0.0	0.0
?a  term22  ?f  ?b  term7  ?f   => ?a  term4  ?b	0.211195929	0.08934338	0.102595797	83	929	809	?a	0.0	0.0	0.0
?a  term15  ?f  ?b  term7  ?f   => ?a  term4  ?b	0.671755725	0.153399187	0.181693049	264	1721	1453	?a	0.0	0.0	0.0
?f  term10  ?a  ?b  term4  ?f   => ?a  term4  ?b	0.290076336	0.211895911	0.256756757	114	538	444	?a	0.0	0.0	0.0
?b  term4  ?f  ?f  term9  ?a   => ?a  term4  ?b	0.41221374	0.325955734	0.355263158	162	497	456	?a	0.0	0.0	0.0
?f  term11  ?a  ?b  term4  ?f   => ?a  term4  ?b	0.65394402	0.249514563	0.292710706	257	1030	878	?a	0.0	0.0	0.0
?a  term11  ?f  ?b  term4  ?f   => ?a  term4  ?b	0.648854962	0.286195286	0.34320323	255	891	743	?a	0.0	0.0	0.0
?a  term10  ?f  ?b  term4  ?f   => ?a  term4  ?b	0.44783715	0.290429043	0.320582878	176	606	549	?a	0.0	0.0	0.0
?b  term4  ?f  ?a  term9  ?f   => ?a  term4  ?b	0.582697201	0.246501615	0.280293758	229	929	817	?a	0.0	0.0	0.0
?a  term2  ?f  ?b  term4  ?f   => ?a  term4  ?b	0.073791349	0.087613293	0.102473498	29	331	283	?a	0.0	0.0	0.0
?b  term10  ?f  ?f  term17  ?a   => ?a  term4  ?b	0.178117048	0.118243243	0.134099617	70	592	522	?a	0.0	0.0	0.0
?b  term10  ?f  ?f  term4  ?a   => ?a  term4  ?b	0.41221374	0.251944012	0.26910299	162	643	602	?a	0.0	0.0	0.0
?b  term10  ?f  ?a  term4  ?f   => ?a  term4  ?b	0.470737913	0.305280528	0.305280528	185	606	606	?a	0.0	0.0	0.0
?b  term10  ?f  ?f  term3  ?a   => ?a  term4  ?b	0.450381679	0.18869936	0.209467456	177	938	845	?a	0.0	0.0	0.0
?b  term10  ?f  ?a  term3  ?f   => ?a  term4  ?b	0.417302799	0.190919674	0.216358839	164	859	758	?a	0.0	0.0	0.0
?b  term10  ?f  ?a  term17  ?f   => ?a  term4  ?b	0.201017812	0.123824451	0.136206897	79	638	580	?a	0.0	0.0	0.0
?b  term15  ?f  ?f  term16  ?a   => ?a  term4  ?b	0.715012723	0.155420354	0.17324291	281	1808	1622	?a	0.0	0.0	0.0
?b  term15  ?f  ?f  term8  ?a   => ?a  term4  ?b	0.384223919	0.109341057	0.114828897	151	1381	1315	?a	0.0	0.0	0.0
?b  term15  ?f  ?f  term19  ?a   => ?a  term4  ?b	0.010178117	0.142857143	0.142857143	4	28	28	?a	0.0	0.0	0.0
?b  term15  ?f  ?f  term7  ?a   => ?a  term4  ?b	0.320610687	0.089425124	0.110043668	126	1409	1145	?a	0.0	0.0	0.0
?b  term15  ?f  ?a  term8  ?f   => ?a  term4  ?b	0.636132316	0.13326226	0.150693189	250	1876	1659	?a	0.0	0.0	0.0
?b  term15  ?f  ?a  term7  ?f   => ?a  term4  ?b	0.676844784	0.154561302	0.175346078	266	1721	1517	?a	0.0	0.0	0.0
?b  term15  ?f  ?a  term16  ?f   => ?a  term4  ?b	0.643765903	0.115	0.132808399	253	2200	1905	?a	0.0	0.0	0.0
?b  term18  ?f  ?f  term8  ?a   => ?a  term4  ?b	0.361323155	0.113964687	0.121471343	142	1246	1169	?a	0.0	0.0	0.0
?f  term16  ?a  ?b  term18  ?f   => ?a  term4  ?b	0.480916031	0.105351171	0.119092628	189	1794	1587	?a	0.0	0.0	0.0
?b  term18  ?f  ?f  term19  ?a   => ?a  term4  ?b	0.017811705	0.25	0.25	7	28	28	?a	0.0	0.0	0.0
?b  term18  ?f  ?a  term19  ?f   => ?a  term4  ?b	0.045801527	0.391304348	0.391304348	18	46	46	?a	0.0	0.0	0.0
?b  term18  ?f  ?a  term8  ?f   => ?a  term4  ?b	0.409669211	0.090095132	0.104545455	161	1787	1540	?a	0.0	0.0	0.0
?a  term16  ?f  ?b  term18  ?f   => ?a  term4  ?b	0.557251908	0.132326284	0.153468816	219	1655	1427	?a	0.0	0.0	0.0
?b  term18  ?f  ?a  term7  ?f   => ?a  term4  ?b	0.249363868	0.096172718	0.111617312	98	1019	878	?a	0.0	0.0	0.0
?f  term20  ?a  ?b  term9  ?f   => ?a  term4  ?b	0.229007634	0.116731518	0.12605042	90	771	714	?a	0.0	0.0	0.0
?f  term3  ?a  ?b  term9  ?f   => ?a  term4  ?b	0.117048346	0.116161616	0.149350649	46	396	308	?a	0.0	0.0	0.0
?f  term4  ?a  ?b  term9  ?f   => ?a  term4  ?b	0.623409669	0.258985201	0.262312634	245	946	934	?a	0.0	0.0	0.0
?f  term14  ?a  ?b  term9  ?f   => ?a  term4  ?b	0.040712468	0.126984127	0.126984127	16	126	126	?a	0.0	0.0	0.0
?f  term25  ?a  ?b  term9  ?f   => ?a  term4  ?b	0.038167939	0.326086957	0.326086957	15	46	46	?a	0.0	0.0	0.0
?a  term20  ?f  ?b  term9  ?f   => ?a  term4  ?b	0.251908397	0.125475285	0.134877384	99	789	734	?a	0.0	0.0	0.0
?a  term4  ?f  ?b  term9  ?f   => ?a  term4  ?b	0.603053435	0.255113025	0.255113025	237	929	929	?a	0.0	0.0	0.0
?a  term25  ?f  ?b  term9  ?f   => ?a  term4  ?b	0.030534351	0.387096774	0.387096774	12	31	31	?a	0.0	0.0	0.0
?b  term16  ?f  ?f  term18  ?a   => ?a  term4  ?b	0.567430025	0.139462164	0.156053184	223	1599	1429	?a	0.0	0.0	0.0
?b  term16  ?f  ?f  term6  ?a   => ?a  term4  ?b	0.269720102	0.092576419	0.113978495	106	1145	930	?a	0.0	0.0	0.0
?f  term15  ?a  ?b  term16  ?f   => ?a  term4  ?b	0.694656489	0.162985075	0.1812749	273	1675	1506	?a	0.0	0.0	0.0
?b  term16  ?f  ?f  term5  ?a   => ?a  term4  ?b	0.399491094	0.138082674	0.150816523	157	1137	1041	?a	0.0	0.0	0.0
?b  term16  ?f  ?f  term22  ?a   => ?a  term4  ?b	0.246819338	0.140988372	0.16302521	97	688	595	?a	0.0	0.0	0.0
?b  term16  ?f  ?a  term6  ?f   => ?a  term4  ?b	0.600508906	0.197654941	0.212804328	236	1194	1109	?a	0.0	0.0	0.0
?a  term15  ?f  ?b  term16  ?f   => ?a  term4  ?b	0.631043257	0.112727273	0.131704727	248	2200	1883	?a	0.0	0.0	0.0
?b  term16  ?f  ?a  term22  ?f   => ?a  term4  ?b	0.236641221	0.128275862	0.147853736	93	725	629	?a	0.0	0.0	0.0
?b  term16  ?f  ?a  term18  ?f   => ?a  term4  ?b	0.600508906	0.142598187	0.161202186	236	1655	1464	?a	0.0	0.0	0.0
?b  term16  ?f  ?a  term5  ?f   => ?a  term4  ?b	0.595419847	0.168103448	0.184834123	234	1392	1266	?a	0.0	0.0	0.0
?b  term5  ?f  ?f  term8  ?a   => ?a  term4  ?b	0.374045802	0.176470588	0.182156134	147	833	807	?a	0.0	0.0	0.0
?f  term19  ?a  ?b  term5  ?f   => ?a  term4  ?b	0.058524173	0.167883212	0.167883212	23	137	137	?a	0.0	0.0	0.0
?f  term21  ?a  ?b  term5  ?f   => ?a  term4  ?b	0.012722646	0.294117647	0.294117647	5	17	17	?a	0.0	0.0	0.0
?f  term16  ?a  ?b  term5  ?f   => ?a  term4  ?b	0.409669211	0.103470437	0.117604091	161	1556	1369	?a	0.0	0.0	0.0
?a  term19  ?f  ?b  term5  ?f   => ?a  term4  ?b	0.045801527	0.4	0.4	18	45	45	?a	0.0	0.0	0.0
?a  term21  ?f  ?b  term5  ?f   => ?a  term4  ?b	0.022900763	0.818181818	0.818181818	9	11	11	?a	0.0	0.0	0.0
?a  term16  ?f  ?b  term5  ?f   => ?a  term4  ?b	0.554707379	0.156609195	0.176804542	218	1392	1233	?a	0.0	0.0	0.0
?b  term11  ?f  ?f  term3  ?a   => ?a  term4  ?b	0.269720102	0.105788423	0.123399302	106	1002	859	?a	0.0	0.0	0.0
?b  term11  ?f  ?f  term4  ?a   => ?a  term4  ?b	0.664122137	0.27444795	0.293918919	261	951	888	?a	0.0	0.0	0.0
?b  term11  ?f  ?f  term17  ?a   => ?a  term4  ?b	0.226463104	0.087684729	0.101598174	89	1015	876	?a	0.0	0.0	0.0
?b  term11  ?f  ?f  term12  ?a   => ?a  term4  ?b	0.150127226	0.098333333	0.10516934	59	600	561	?a	0.0	0.0	0.0
?b  term11  ?f  ?f  term14  ?a   => ?a  term4  ?b	0.058524173	0.194915254	0.205357143	23	118	112	?a	0.0	0.0	0.0
?b  term11  ?f  ?f  term21  ?a   => ?a  term4  ?b	0.1043257	0.091722595	0.100985222	41	447	406	?a	0.0	0.0	0.0
?b  term11  ?f  ?f  term25  ?a   => ?a  term4  ?b	0.030534351	0.5	0.5	12	24	24	?a	0.0	0.0	0.0
?b  term11  ?f  ?a  term13  ?f   => ?a  term4  ?b	0.295165394	0.102836879	0.120707596	116	1128	961	?a	0.0	0.0	0.0
?b  term11  ?f  ?a  term4  ?f   => ?a  term4  ?b	0.676844784	0.298540965	0.298540965	266	891	891	?a	0.0	0.0	0.0
?b  term11  ?f  ?a  term12  ?f   => ?a  term4  ?b	0.175572519	0.105343511	0.118760757	69	655	581	?a	0.0	0.0	0.0
?b  term11  ?f  ?a  term3  ?f   => ?a  term4  ?b	0.167938931	0.088948787	0.110552764	66	742	597	?a	0.0	0.0	0.0
?b  term11  ?f  ?a  term17  ?f   => ?a  term4  ?b	0.269720102	0.105894106	0.116483516	106	1001	910	?a	0.0	0.0	0.0
?b  term11  ?f  ?a  term21  ?f   => ?a  term4  ?b	0.114503817	0.113350126	0.125	45	397	360	?a	0.0	0.0	0.0
?b  term11  ?f  ?a  term25  ?f   => ?a  term4  ?b	0.010178117	0.129032258	0.129032258	4	31	31	?a	0.0	0.0	0.0
?b  term0  ?f  ?f  term13  ?a   => ?a  term4  ?b	0.244274809	0.21719457	0.266666667	96	442	360	?a	0.0	0.0	0.0
?b  term0  ?f  ?f  term20  ?a   => ?a  term4  ?b	0.231552163	0.359683794	0.383966245	91	253	237	?a	0.0	0.0	0.0
?b  term0  ?f  ?f  term12  ?a   => ?a  term4  ?b	0.17302799	0.417177914	0.425	68	163	160	?a	0.0	0.0	0.0
?b  term0  ?f  ?f  term17  ?a   => ?a  term4  ?b	0.218829517	0.232432432	0.278317152	86	370	309	?a	0.0	0.0	0.0
?b  term0  ?f  ?f  term3  ?a   => ?a  term4  ?b	0.1043257	0.087420043	0.105128205	41	469	390	?a	0.0	0.0	0.0
?b  term0  ?f  ?f  term21  ?a   => ?a  term4  ?b	0.06870229	0.178807947	0.191489362	27	151	141	?a	0.0	0.0	0.0
?b  term0  ?f  ?f  term14  ?a   => ?a  term4  ?b	0.038167939	0.483870968	0.483870968	15	31	31	?a	0.0	0.0	0.0
?b  term0  ?f  ?f  term25  ?a   => ?a  term4  ?b	0.012722646	0.555555556	0.555555556	5	9	9	?a	0.0	0.0	0.0
?b  term0  ?f  ?a  term12  ?f   => ?a  term4  ?b	0.259541985	0.298245614	0.326923077	102	342	312	?a	0.0	0.0	0.0
?b  term0  ?f  ?a  term20  ?f   => ?a  term4  ?b	0.226463104	0.361788618	0.381974249	89	246	233	?a	0.0	0.0	0.0
?b  term0  ?f  ?a  term13  ?f   => ?a  term4  ?b	0.157760814	0.170798898	0.211604096	62	363	293	?a	0.0	0.0	0.0
?b  term0  ?f  ?a  term17  ?f   => ?a  term4  ?b	0.134860051	0.181506849	0.21031746	53	292	252	?a	0.0	0.0	0.0
?b  term0  ?f  ?a  term3  ?f   => ?a  term4  ?b	0.114503817	0.106888361	0.139751553	45	421	322	?a	0.0	0.0	0.0
?b  term0  ?f  ?a  term14  ?f   => ?a  term4  ?b	0.030534351	0.352941176	0.352941176	12	34	34	?a	0.0	0.0	0.0
?b  term0  ?f  ?a  term25  ?f   => ?a  term4  ?b	0.015267176	0.4	0.4	6	15	15	?a	0.0	0.0	0.0
?b  term0  ?f  ?a  term21  ?f   => ?a  term4  ?b	0.025445293	0.111111111	0.128205128	10	90	78	?a	0.0	0.0	0.0
?f  term0  ?a  ?b  term17  ?f   => ?a  term4  ?b	0.129770992	0.183453237	0.196153846	51	278	260	?a	0.0	0.0	0.0
?f  term1  ?a  ?b  term17  ?f   => ?a  term4  ?b	0.290076336	0.165217391	0.183870968	114	690	620	?a	0.0	0.0	0.0
?b  term17  ?f  ?f  term2  ?a   => ?a  term4  ?b	0.109414758	0.153024911	0.162264151	43	281	265	?a	0.0	0.0	0.0
?f  term11  ?a  ?b  term17  ?f   => ?a  term4  ?b	0.284987277	0.111000991	0.126984127	112	1009	882	?a	0.0	0.0	0.0
?b  term17  ?f  ?f  term9  ?a   => ?a  term4  ?b	0.180661578	0.111811024	0.120543294	71	635	589	?a	0.0	0.0	0.0
?a  term1  ?f  ?b  term17  ?f   => ?a  term4  ?b	0.254452926	0.167785235	0.184501845	100	596	542	?a	0.0	0.0	0.0
?a  term0  ?f  ?b  term17  ?f   => ?a  term4  ?b	0.129770992	0.174657534	0.194656489	51	292	262	?a	0.0	0.0	0.0
?b  term17  ?f  ?a  term2  ?f   => ?a  term4  ?b	0.10178117	0.124223602	0.149253731	40	322	268	?a	0.0	0.0	0.0
?a  term10  ?f  ?b  term17  ?f   => ?a  term4  ?b	0.216284987	0.13322884	0.145051195	85	638	586	?a	0.0	0.0	0.0
?b  term6  ?f  ?f  term8  ?a   => ?a  term4  ?b	0.353689567	0.144340602	0.162004662	139	963	858	?a	0.0	0.0	0.0
?a  term11  ?f  ?b  term17  ?f   => ?a  term4  ?b	0.223918575	0.087912088	0.10488677	88	1001	839	?a	0.0	0.0	0.0
